Aplicación,request,parámetro,valor,Generated entanglements,Mean fidel,Std fidel,Mean time,Std time,EPS
Capacity,request1,links$lastNode_distance,9.0,22222,1.0,0.0,45000.0,0.0,22222.0
Capacity,request1,links$lastNode_distance,12.36734693877551,16171,1.0,0.0,61836.73469388439,1.7966672073573115e-09,16171.0
Capacity,request1,links$lastNode_distance,15.73469387755102,12710,0.9998426435877262,0.012543684896369346,78673.46938776781,4.949493099859851e-09,12710.0
Capacity,request1,links$lastNode_distance,19.10204081632653,10470,0.9996179560649475,0.019543143463114792,95510.20408164826,1.1116086920377276e-08,10470.0
Capacity,request1,links$lastNode_distance,22.46938775510204,8900,0.9992134831460674,0.028035451811367317,112346.93877553174,1.3028112310463696e-08,8900.0
Capacity,request1,links$lastNode_distance,25.836734693877553,7740,0.9974160206718347,0.05077041861977629,129183.67346940022,2.511554806368443e-08,7740.0
Capacity,request1,links$lastNode_distance,29.20408163265306,6848,0.9956191588785047,0.06604760683537644,146020.40816328375,2.5875741687548353e-08,6848.0
Capacity,request1,links$lastNode_distance,32.57142857142857,6140,0.9920195439739413,0.08898347000234062,162857.1428571643,2.87016293205951e-08,6140.0
Capacity,request1,links$lastNode_distance,35.93877551020408,5565,0.9867026055705301,0.11455536587077789,179693.87755104786,2.977977782792545e-08,5565.0
Capacity,request1,links$lastNode_distance,39.30612244897959,5088,0.9819182389937107,0.13326027599155887,196530.6122448749,2.9483778199470293e-08,5088.0
Capacity,request1,links$lastNode_distance,42.673469387755105,4686,0.9793000426803243,0.1423931036756504,213367.34693875833,2.850519498134246e-08,4686.0
Capacity,request1,links$lastNode_distance,46.04081632653061,4343,0.9719088187888556,0.16525239680696582,230204.0816326388,2.5705800768723677e-08,4343.0
Capacity,request1,links$lastNode_distance,49.40816326530612,4047,0.9681245366938473,0.17569019690230164,247040.81632652227,2.5082171049831866e-08,4047.0
Capacity,request1,links$lastNode_distance,52.775510204081634,3789,0.9625230931644233,0.18995239165483768,263877.55102039076,1.2373236688569632e-08,3789.0
Capacity,request1,links$lastNode_distance,56.14285714285714,3562,0.9553621560920831,0.2065363949864168,280714.2857142743,1.0582936318254239e-08,3562.0
Capacity,request1,links$lastNode_distance,59.51020408163265,3360,0.9446428571428571,0.22871007310027347,297551.0204081548,3.947360379649294e-09,3360.0
Capacity,request1,links$lastNode_distance,62.87755102040816,3180,0.9349056603773584,0.24673104797331155,314387.7551020384,6.127228591543188e-10,3180.0
Capacity,request1,links$lastNode_distance,66.24489795918367,3019,0.9211659489897317,0.26952422053276753,331224.48979592294,1.8284107312799392e-09,3019.0
Capacity,request1,links$lastNode_distance,69.61224489795919,2873,0.9262095370692656,0.2614750995155615,348061.22448980657,4.48766482419407e-09,2873.0
Capacity,request1,links$lastNode_distance,72.9795918367347,566,0.9823321554770318,0.13185753611929765,1765714.5741689745,654474.9000321066,566.0
Capacity,request1,links$lastNode_distance,76.34693877551021,541,0.9574861367837338,0.2019450839636483,1848147.640424044,784273.6793459874,541.0
Capacity,request1,links$lastNode_distance,79.71428571428571,2508,0.9003189792663477,0.29963396418239724,398571.42857143964,2.5310594440795718e-08,2508.0
Capacity,request1,links$lastNode_distance,83.08163265306122,463,0.9546436285097192,0.20830960660753797,2157376.6959051616,954724.4866169724,463.0
Capacity,request1,links$lastNode_distance,86.44897959183673,446,0.9394618834080718,0.2387489436509036,2240147.702937843,1008776.06655155,446.0
Capacity,request1,links$lastNode_distance,89.81632653061224,429,0.9627039627039627,0.1897074937507606,2330679.1018506084,1026196.8420751189,429.0
Capacity,request1,links$lastNode_distance,93.18367346938776,2146,0.8793103448275862,0.32584219678798504,465918.36734691204,2.9796882943379177e-08,2146.0
Capacity,request1,links$lastNode_distance,96.55102040816327,377,0.9442970822281167,0.22965190313560305,2651675.09337933,1232108.376143994,377.0
Capacity,request1,links$lastNode_distance,99.91836734693878,365,0.9315068493150684,0.2529369857724238,2737581.246854913,1270503.591982212,365.0
Capacity,request1,links$lastNode_distance,103.28571428571428,358,0.9497206703910615,0.21882658846227235,2789024.7805266213,1326321.1886021455,358.0
Capacity,request1,links$lastNode_distance,106.65306122448979,346,0.9335260115606936,0.24946957216738788,2889562.8937124247,1288929.989489062,346.0
Capacity,request1,links$lastNode_distance,110.0204081632653,199,0.9095477386934674,0.2875520093183883,5020807.988924037,2502908.991953176,199.0
Capacity,request1,links$lastNode_distance,113.38775510204081,314,0.910828025477707,0.2854467084508383,3184657.929286493,1596433.3879663236,314.0
Capacity,request1,links$lastNode_distance,116.75510204081633,185,0.9351351351351351,0.2469556114579142,5393929.288472101,3202449.7677210276,185.0
Capacity,request1,links$lastNode_distance,120.12244897959184,279,0.921146953405018,0.26999355824256893,3579928.593372621,1898658.6205421004,279.0
Capacity,request1,links$lastNode_distance,123.48979591836735,275,0.8436363636363636,0.3638619074923272,3629683.4805195373,1770364.4312010459,275.0
Capacity,request1,links$lastNode_distance,126.85714285714286,270,0.8962962962962963,0.30544194500856986,3698238.5185183757,1840106.4570141789,270.0
Capacity,request1,links$lastNode_distance,130.22448979591837,238,0.8739495798319328,0.3326056660561418,4196548.327902745,2213592.246321436,238.0
Capacity,request1,links$lastNode_distance,133.59183673469386,143,0.951048951048951,0.2165241205270644,6976745.911230714,3627493.1226213765,143.0
Capacity,request1,links$lastNode_distance,136.9591836734694,237,0.8945147679324894,0.3078277445777614,4210947.989322518,2457190.091177308,237.0
Capacity,request1,links$lastNode_distance,140.3265306122449,231,0.9004329004329005,0.3000721413981812,4310319.356833593,2246335.5545863775,231.0
Capacity,request1,links$lastNode_distance,143.69387755102042,141,0.900709219858156,0.30011818003215934,7066734.708351639,3904815.735364428,141.0
Capacity,request1,links$lastNode_distance,147.0612244897959,81,0.9382716049382716,0.2421610524189263,12315298.488283228,8018800.5807369035,81.0
