Teleportation,Request,Element$Parameter,Value,Teleported states,Mean fidelity,STD fidelity,Mean time,STD time
Teleportation,request1,links$endNode_distance,1.0,66622,1.0,0.0,15010.0,0.0
Teleportation,request1,links$endNode_distance,2.9743589743589745,22408,1.0,0.0,44625.38461541565,1.4497034348632379e-08
Teleportation,request1,links$endNode_distance,4.948717948717949,13469,1.0,0.0,74240.76923081999,3.778605116690699e-08
Teleportation,request1,links$endNode_distance,6.923076923076923,9628,1.0,0.0,103856.15384619079,7.510597573836964e-08
Teleportation,request1,links$endNode_distance,8.897435897435898,7492,1.0,0.0,133471.5384615947,8.563053726969911e-08
Teleportation,request1,links$endNode_distance,10.871794871794872,6131,1.0,0.0,163086.9230768438,8.916586717159945e-08
Teleportation,request1,links$endNode_distance,12.846153846153847,5189,1.0,0.0,192702.30769225935,8.504434038092438e-08
Teleportation,request1,links$endNode_distance,14.820512820512821,4498,1.0,0.0,222317.69230766382,7.507894217035711e-08
Teleportation,request1,links$endNode_distance,16.794871794871796,3969,1.0,0.0,251933.07692303162,3.328466286667352e-08
Teleportation,request1,links$endNode_distance,18.76923076923077,3551,1.0,0.0,281548.46153843834,1.2092317571096761e-08
Teleportation,request1,links$endNode_distance,20.743589743589745,3213,0.9990662931839402,0.030547101818328384,311163.8461538551,1.7774680895891245e-09
Teleportation,request1,links$endNode_distance,22.71794871794872,2934,0.9996591683708248,0.018461625854057043,340779.23076925904,3.183007812848751e-08
Teleportation,request1,links$endNode_distance,24.692307692307693,2699,0.9966654316413487,0.05766004536950517,370394.6153846752,3.868929762564216e-08
Teleportation,request1,links$endNode_distance,26.666666666666668,2499,0.9967987194877951,0.05650052876001316,400010.000000044,7.699382421726873e-08
Teleportation,request1,links$endNode_distance,28.641025641025642,2327,0.9939836699613236,0.07734794636124499,429625.3846154513,8.607404479621603e-08
Teleportation,request1,links$endNode_distance,30.615384615384617,2177,0.9912723932016536,0.09303446415991116,459240.7692306965,8.852515740200386e-08
Teleportation,request1,links$endNode_distance,32.58974358974359,2045,0.9863080684596577,0.11623712587187546,488856.1538461011,7.749971559180936e-08
Teleportation,request1,links$endNode_distance,34.56410256410257,1928,0.9813278008298755,0.13539961962747504,518471.53846151725,7.501607544367137e-08
Teleportation,request1,links$endNode_distance,36.53846153846154,1824,0.9819078947368421,0.13332113784435679,548086.9230768854,3.192964708914422e-08
Teleportation,request1,links$endNode_distance,38.51282051282051,622,0.9823151125401929,0.1319094638885052,1606584.0485612487,254923.76617572695
Teleportation,request1,links$endNode_distance,40.48717948717949,1646,0.9763061968408262,0.15213963686177565,607317.6923077096,4.777183644560537e-09
Teleportation,request1,links$endNode_distance,42.46153846153847,1570,0.9770700636942675,0.14972786508798983,636933.0769231148,3.187795456182523e-08
Teleportation,request1,links$endNode_distance,44.43589743589744,521,0.9596928982725528,0.1968675407071563,1917020.7387174498,394583.6547425669
Teleportation,request1,links$endNode_distance,46.41025641025641,1436,0.9644846796657381,0.18514279010211623,696163.8461538997,7.771137848761124e-08
Teleportation,request1,links$endNode_distance,48.38461538461539,335,0.982089552238806,0.13282442277580978,2981951.3869119883,749991.9819796357
Teleportation,request1,links$endNode_distance,50.358974358974365,449,0.9643652561247216,0.18558452599871744,2224797.742561742,539173.4741727816
Teleportation,request1,links$endNode_distance,52.333333333333336,420,0.9714285714285714,0.16679731213202995,2377575.761904751,669799.0722987911
Teleportation,request1,links$endNode_distance,54.30769230769231,404,0.9702970297029703,0.1699771138910723,2464831.60510269,637750.8865649549
Teleportation,request1,links$endNode_distance,56.282051282051285,380,0.9473684210526315,0.22359127111747404,2626897.024966254,755962.3821666833
Teleportation,request1,links$endNode_distance,58.25641025641026,368,0.9728260869565217,0.1628113104343639,2715093.5214604815,804078.6505352764
Teleportation,request1,links$endNode_distance,60.23076923076923,342,0.9415204678362573,0.23499179093870096,2919242.8947368343,990840.5777229798
Teleportation,request1,links$endNode_distance,62.205128205128204,337,0.9317507418397626,0.2525481275580537,2964595.3085293155,1046039.437373798
Teleportation,request1,links$endNode_distance,64.17948717948718,316,0.9620253164556962,0.19143819755740107,3158367.6760791335,1110246.753451544
Teleportation,request1,links$endNode_distance,66.15384615384616,305,0.9245901639344263,0.2644854349442903,3270987.278688548,1075613.467677669
Teleportation,request1,links$endNode_distance,68.12820512820514,283,0.9681978798586572,0.17578376584859765,3519738.9363053,1545604.141652949
Teleportation,request1,links$endNode_distance,70.1025641025641,185,0.9135135135135135,0.2818438533955056,5390542.293831672,2483145.1175395935
Teleportation,request1,links$endNode_distance,72.07692307692308,261,0.896551724137931,0.30512857662936466,3827720.5128204036,1643631.7885506037
Teleportation,request1,links$endNode_distance,74.05128205128206,70,0.9142857142857143,0.2819629507400965,14276482.589742647,8617390.871039763
Teleportation,request1,links$endNode_distance,76.02564102564102,27,0.8888888888888888,0.32025630761017426,36662290.598297186,21195030.910379857
