Capacity,request1,links$endNode_distance,1.0,12555,0.9992035045798486,0.028212132323023092,79642.05295102469,62408.32505314487,12555.0
Capacity,request1,links$endNode_distance,1.7959183673469388,9696,0.9992780528052805,0.026860759466876334,103133.99758704937,88864.97792575129,9696.0
Capacity,request1,links$endNode_distance,2.5918367346938775,7787,0.9982021317580583,0.04236586369900723,128412.7567562942,114867.02392047046,7787.0
Capacity,request1,links$endNode_distance,3.387755102040816,6085,0.9991783073130649,0.02865575779938056,164297.18951216628,152297.7773328456,6085.0
Capacity,request1,links$endNode_distance,4.183673469387755,5142,0.9984441851419681,0.03941695645484748,194467.06668054505,186092.91556553147,5142.0
Capacity,request1,links$endNode_distance,4.979591836734694,4062,0.9992614475627769,0.027169628408886256,246043.53282744277,243423.58047817723,4062.0
Capacity,request1,links$endNode_distance,5.775510204081632,3376,0.9997037914691943,0.017210709770537853,296145.4650902704,284423.8387609772,3376.0
Capacity,request1,links$endNode_distance,6.571428571428571,2733,0.9992682034394438,0.02704678722959945,365835.6609534393,354796.19954077963,2733.0
Capacity,request1,links$endNode_distance,7.36734693877551,2261,0.9986731534719151,0.03640978340525505,442156.90893774957,451334.21248045337,2261.0
Capacity,request1,links$endNode_distance,8.16326530612245,1889,0.9989412387506618,0.03252999331045494,528970.4402967083,545457.5705034022,1889.0
Capacity,request1,links$endNode_distance,8.959183673469388,1667,1.0,0.0,599104.5066415346,607737.6980961578,1667.0
Capacity,request1,links$endNode_distance,9.755102040816327,1307,0.9992348890589136,0.027660638840895507,764515.3005183695,767380.659511094,1307.0
Capacity,request1,links$endNode_distance,10.551020408163264,1158,1.0,0.0,863422.0243946175,865096.9598291214,1158.0
Capacity,request1,links$endNode_distance,11.346938775510203,957,0.9989550679205852,0.03232540919176181,1043966.445699968,987655.5246321644,957.0
Capacity,request1,links$endNode_distance,12.142857142857142,826,0.9975786924939467,0.04917695179516634,1210598.5254409374,1215455.9017395412,826.0
Capacity,request1,links$endNode_distance,12.938775510204081,718,1.0,0.0,1391100.0637004373,1373495.6668240952,718.0
Capacity,request1,links$endNode_distance,13.73469387755102,606,0.995049504950495,0.0702433610856857,1639427.745666,1693770.6254528665,606.0
Capacity,request1,links$endNode_distance,14.53061224489796,503,1.0,0.0,1985496.7095828492,1974646.2906747982,503.0
Capacity,request1,links$endNode_distance,15.326530612244898,512,1.0,0.0,1951265.028519864,2183847.776874041,512.0
Capacity,request1,links$endNode_distance,16.122448979591837,383,0.9973890339425587,0.051097613030759596,2597902.2230990436,2855926.30324912,383.0
Capacity,request1,links$endNode_distance,16.918367346938776,339,0.9970501474926253,0.05431254465935684,2935953.552663446,2766952.847396775,339.0
Capacity,request1,links$endNode_distance,17.714285714285715,295,1.0,0.0,3378010.253172577,3565080.480944007,295.0
Capacity,request1,links$endNode_distance,18.510204081632654,276,1.0,0.0,3622313.8014416443,3293922.8802687796,276.0
Capacity,request1,links$endNode_distance,19.306122448979593,217,1.0,0.0,4607937.643551406,4903174.158018243,217.0
Capacity,request1,links$endNode_distance,20.10204081632653,187,0.9946524064171123,0.07312724241271307,5334179.734540249,5132066.516887702,187.0
Capacity,request1,links$endNode_distance,20.897959183673468,170,0.9941176470588236,0.07669649888473705,5874494.240134148,5845671.40443965,170.0
Capacity,request1,links$endNode_distance,21.693877551020407,140,1.0,0.0,7106619.176387116,6934958.099450897,140.0
Capacity,request1,links$endNode_distance,22.489795918367346,125,1.0,0.0,7960143.789551468,8093073.375372283,125.0
Capacity,request1,links$endNode_distance,23.285714285714285,104,0.9903846153846154,0.09805806756909202,9514599.509613656,9799933.27370337,104.0
Capacity,request1,links$endNode_distance,24.081632653061224,71,1.0,0.0,13336251.922270305,12682150.91391253,71.0
Capacity,request1,links$endNode_distance,24.877551020408163,73,1.0,0.0,13523074.093271516,13700349.237952344,73.0
Capacity,request1,links$endNode_distance,25.6734693877551,76,1.0,0.0,12876722.175610818,12115950.864339333,76.0
Capacity,request1,links$endNode_distance,26.46938775510204,63,1.0,0.0,15548908.795272313,13924565.651760215,63.0
Capacity,request1,links$endNode_distance,27.26530612244898,66,0.9848484848484849,0.12309149097933271,15109392.186474236,15209088.592561739,66.0
Capacity,request1,links$endNode_distance,28.06122448979592,39,0.9743589743589743,0.16012815380508716,25131604.644157484,26166865.99156199,39.0
Capacity,request1,links$endNode_distance,28.857142857142858,32,1.0,0.0,30318436.12011066,31578351.648493905,32.0
Capacity,request1,links$endNode_distance,29.653061224489797,42,1.0,0.0,23642651.157562777,25339365.155804638,42.0
Capacity,request1,links$endNode_distance,30.448979591836736,34,1.0,0.0,27814582.952300746,38648249.6071078,34.0
Capacity,request1,links$endNode_distance,31.244897959183675,26,0.9615384615384616,0.19611613513818402,36244568.692266904,33881411.37292567,26.0
Capacity,request1,links$endNode_distance,32.04081632653062,27,0.9629629629629629,0.19245008972987523,36748542.200977534,27030548.376728464,27.0
Capacity,request1,links$endNode_distance,32.83673469387755,26,0.9230769230769231,0.271746488194703,38226605.64783052,49747316.41074495,26.0
Capacity,request1,links$endNode_distance,33.63265306122449,30,1.0,0.0,32883117.324543,30276178.135794546,30.0
Capacity,request1,links$endNode_distance,34.42857142857143,16,0.9375,0.25,58519384.276678205,52096845.27052395,16.0
Capacity,request1,links$endNode_distance,35.224489795918366,18,0.9444444444444444,0.23570226039551584,54652170.91287698,64405467.6572554,18.0
Capacity,request1,links$endNode_distance,36.02040816326531,17,0.9411764705882353,0.242535625036333,58692295.80288248,56076101.94751039,17.0
