Aplicación,request,parámetro,valor,Teleported states,Mean fidel,Std fidel,Mean time,Std time,Queue size,Discarded qubits
TeleportationWithDemand,request1,nodes$gate_duration,100.0,99,0.9595959595959596,0.19790700347467466,295796.9696969697,93.08164668669778,0,0
TeleportationWithDemand,request1,nodes$gate_duration,2138.775510204082,99,0.9797979797979798,0.14140677897022574,312104.0,1955.6970885187757,0,0
TeleportationWithDemand,request1,nodes$gate_duration,4177.551020408164,99,0.98989898989899,0.10050378152592122,328416.0,3773.952510435234,0,0
TeleportationWithDemand,request1,nodes$gate_duration,6216.326530612245,99,0.9797979797979798,0.14140677897022572,344476.8484848485,6210.872343940686,0,0
TeleportationWithDemand,request1,nodes$gate_duration,8255.102040816328,99,0.98989898989899,0.10050378152592122,361123.38383838383,8212.347032970552,0,0
TeleportationWithDemand,request1,nodes$gate_duration,10293.877551020409,99,0.9393939393939394,0.23982058847557647,379215.45454545453,10841.71988132684,0,0
TeleportationWithDemand,request1,nodes$gate_duration,12332.65306122449,99,0.9797979797979798,0.14140677897022574,393656.0,11685.890547046512,0,0
TeleportationWithDemand,request1,nodes$gate_duration,14371.428571428572,99,0.9797979797979798,0.14140677897022574,408516.38383838383,14588.576612742538,0,0
TeleportationWithDemand,request1,nodes$gate_duration,16410.204081632655,99,0.9797979797979798,0.14140677897022574,426445.75757575757,16325.210758455089,0,0
TeleportationWithDemand,request1,nodes$gate_duration,18448.979591836734,99,0.9292929292929293,0.257639411538814,444074.7474747475,18760.987891368353,0,0
TeleportationWithDemand,request1,nodes$gate_duration,20487.755102040817,99,0.9595959595959596,0.19790700347467466,456826.6060606061,21802.538279403638,0,0
TeleportationWithDemand,request1,nodes$gate_duration,22526.5306122449,99,0.9595959595959596,0.19790700347467466,477028.28282828286,23355.84577614761,0,0
TeleportationWithDemand,request1,nodes$gate_duration,24565.30612244898,99,0.9595959595959596,0.19790700347467466,490031.2121212121,28034.379104611467,0,0
TeleportationWithDemand,request1,nodes$gate_duration,26604.081632653062,99,0.9696969696969697,0.1722921969015792,507832.0,23428.29573356952,0,0
TeleportationWithDemand,request1,nodes$gate_duration,28642.857142857145,99,0.9797979797979798,0.14140677897022574,519217.6767676768,28063.434606891424,0,0
TeleportationWithDemand,request1,nodes$gate_duration,30681.632653061224,99,0.9393939393939394,0.23982058847557647,543547.0909090909,32355.610438039672,0,0
TeleportationWithDemand,request1,nodes$gate_duration,32720.408163265307,99,0.9696969696969697,0.17229219690157924,557090.505050505,31179.60536245845,0,0
TeleportationWithDemand,request1,nodes$gate_duration,34759.183673469386,99,0.9494949494949495,0.2200991137469465,571667.595959596,35083.507576579366,0,0
TeleportationWithDemand,request1,nodes$gate_duration,36797.95918367347,99,0.9494949494949495,0.2200991137469465,589004.3131313132,40546.59814982506,0,0
TeleportationWithDemand,request1,nodes$gate_duration,38836.73469387755,99,0.9292929292929293,0.25763941153881403,605295.7171717172,38234.91838515144,0,0
TeleportationWithDemand,request1,nodes$gate_duration,40875.510204081635,99,0.9797979797979798,0.14140677897022574,625303.0303030303,41156.30628282877,0,0
TeleportationWithDemand,request1,nodes$gate_duration,42914.28571428572,99,0.9393939393939394,0.23982058847557644,639178.9494949495,45457.18382627536,0,0
TeleportationWithDemand,request1,nodes$gate_duration,44953.0612244898,99,0.9393939393939394,0.23982058847557647,654169.9292929292,45633.587396327,0,0
TeleportationWithDemand,request1,nodes$gate_duration,46991.836734693876,99,0.9292929292929293,0.25763941153881403,669029.3737373737,48370.50364455886,0,0
TeleportationWithDemand,request1,nodes$gate_duration,49030.61224489796,99,0.9191919191919192,0.27392713453777273,688725.7575757576,50728.89673007718,0,0
TeleportationWithDemand,request1,nodes$gate_duration,51069.38775510204,99,0.9595959595959596,0.19790700347467466,708194.6363636364,53656.39051093856,0,0
TeleportationWithDemand,request1,nodes$gate_duration,53108.163265306124,99,0.9292929292929293,0.25763941153881403,718254.6666666666,47047.4129831616,0,0
TeleportationWithDemand,request1,nodes$gate_duration,55146.93877551021,99,0.9292929292929293,0.25763941153881403,739510.1818181818,52740.360439351636,0,0
TeleportationWithDemand,request1,nodes$gate_duration,57185.71428571429,99,0.9393939393939394,0.2398205884755765,751902.3737373737,56299.922954343536,0,0
TeleportationWithDemand,request1,nodes$gate_duration,59224.489795918365,99,0.9292929292929293,0.25763941153881403,767595.5555555555,60408.59729836107,0,0
TeleportationWithDemand,request1,nodes$gate_duration,61263.26530612245,99,0.9494949494949495,0.2200991137469465,788198.0909090909,57638.629093139854,0,0
TeleportationWithDemand,request1,nodes$gate_duration,63302.04081632653,99,0.9494949494949495,0.2200991137469465,809728.3838383838,52455.26804670018,0,0
TeleportationWithDemand,request1,nodes$gate_duration,65340.816326530614,99,0.9494949494949495,0.2200991137469465,811120.0,65002.393111362304,0,0
TeleportationWithDemand,request1,nodes$gate_duration,67379.59183673469,99,0.9191919191919192,0.2739271345377728,840157.3636363636,68124.91571632375,0,0
TeleportationWithDemand,request1,nodes$gate_duration,69418.36734693877,99,0.9090909090909091,0.2889427981985323,845435.6565656565,71684.90251265043,0,0
TeleportationWithDemand,request1,nodes$gate_duration,71457.14285714286,99,0.9595959595959596,0.19790700347467466,856550.9696969697,65372.058189627554,1,0
TeleportationWithDemand,request1,nodes$gate_duration,73495.91836734694,99,0.9090909090909091,0.2889427981985323,871082.0202020202,76224.43155763972,1,0
TeleportationWithDemand,request1,nodes$gate_duration,75534.69387755102,99,0.898989898989899,0.3028756562720658,892405.2727272727,87723.36989648933,1,0
TeleportationWithDemand,request1,nodes$gate_duration,77573.4693877551,99,0.8888888888888888,0.3158690276528952,920285.3939393939,80538.63615109162,1,0
TeleportationWithDemand,request1,nodes$gate_duration,79612.24489795919,99,0.9393939393939394,0.23982058847557647,927071.0303030303,77819.37997768498,1,0
TeleportationWithDemand,request1,nodes$gate_duration,81651.02040816327,98,0.9183673469387755,0.27521198531482954,949874.3469387755,72254.64727237765,1,0
TeleportationWithDemand,request1,nodes$gate_duration,83689.79591836735,98,0.9081632653061225,0.2902801595145362,959388.1836734693,82223.5410007875,1,0
TeleportationWithDemand,request1,nodes$gate_duration,85728.57142857143,98,0.9387755102040817,0.2409742481263222,979074.4489795918,85266.8260411782,1,0
TeleportationWithDemand,request1,nodes$gate_duration,87767.34693877552,98,0.9081632653061225,0.2902801595145362,994449.2551020408,87725.44255981669,1,0
TeleportationWithDemand,request1,nodes$gate_duration,89806.1224489796,97,0.9072164948453608,0.29163598267661106,1006967.1546391753,98075.99076262032,1,0
TeleportationWithDemand,request1,nodes$gate_duration,91844.89795918367,95,0.7684210526315789,0.42407926745360536,1037486.2315789474,89531.64709225553,4,0
TeleportationWithDemand,request1,nodes$gate_duration,93883.67346938775,93,0.7956989247311828,0.40537529002111217,1063225.4086021506,92801.4388107909,6,0
TeleportationWithDemand,request1,nodes$gate_duration,95922.44897959183,94,0.776595744680851,0.41876046786207405,1050130.6382978724,92492.10674661328,5,0
TeleportationWithDemand,request1,nodes$gate_duration,97961.22448979592,91,0.7582417582417582,0.43052059805308424,1084070.4725274725,106675.72319837565,8,0
TeleportationWithDemand,request1,nodes$gate_duration,100000.0,91,0.7692307692307693,0.42365927286816163,1086208.7912087913,91467.48256238588,8,0
