Aplicación,request,parámetro,valor,Generated entanglements,Mean fidel,Std fidel,Mean time,Std time,EPS
Capacity,request1,links$endNode_distance,1.0,2288,0.9702797202797203,0.16985168171619436,437011.62587412586,230949.06132020487,2288.0
Capacity,request1,links$endNode_distance,1.7959183673469388,1987,0.9657775541016608,0.1818458474231174,503198.3926131939,308314.82500546274,1987.0
Capacity,request1,links$endNode_distance,2.5918367346938775,1783,0.9680314077397645,0.17596581369014713,560844.2008996467,356901.56477397436,1783.0
Capacity,request1,links$endNode_distance,3.387755102040816,1528,0.9718586387434555,0.1654307577300027,654405.8192648536,467616.4532030921,1528.0
Capacity,request1,links$endNode_distance,4.183673469387755,1353,0.9689578713968958,0.17349571256121143,738869.0951324883,543327.5197413862,1353.0
Capacity,request1,links$endNode_distance,4.979591836734694,1189,0.968040370058873,0.17596662825985615,840997.7926915447,641553.4121926327,1189.0
Capacity,request1,links$endNode_distance,5.775510204081632,1053,0.9677113010446344,0.1768497682442884,949189.9063898557,792340.9264423619,1053.0
Capacity,request1,links$endNode_distance,6.571428571428571,874,0.9702517162471396,0.16998936905788645,1143756.2765609713,936328.0437112935,874.0
Capacity,request1,links$endNode_distance,7.36734693877551,759,0.9683794466403162,0.17510308580603684,1307348.2428544883,1097559.4269124006,759.0
Capacity,request1,links$endNode_distance,8.16326530612245,670,0.9716417910447761,0.1661180538575358,1491952.729211114,1343025.0608319957,670.0
Capacity,request1,links$endNode_distance,8.959183673469388,608,0.9802631578947368,0.13920909743426496,1642983.1934747456,1412443.8310771084,608.0
Capacity,request1,links$endNode_distance,9.755102040816327,550,0.9781818181818182,0.14622251313746615,1814731.5844155496,1674902.6112056915,550.0
Capacity,request1,links$endNode_distance,10.551020408163264,476,0.9705882352941176,0.169135481627927,2099543.555993812,2020780.281677682,476.0
Capacity,request1,links$endNode_distance,11.346938775510203,384,0.9635416666666666,0.1876721721842601,2603789.386692353,2303936.8068910907,384.0
Capacity,request1,links$endNode_distance,12.142857142857142,355,0.9605633802816902,0.19490608577216692,2815166.6398389405,2595044.4864763524,355.0
Capacity,request1,links$endNode_distance,12.938775510204081,339,0.9587020648967551,0.19927255953565023,2943023.4723979654,2789722.7970838333,339.0
Capacity,request1,links$endNode_distance,13.73469387755102,254,0.9763779527559056,0.15216835533629422,3930525.7994538583,3730169.5302156657,254.0
Capacity,request1,links$endNode_distance,14.53061224489796,251,0.9561752988047809,0.20511390286231299,3970100.5772823296,4144461.565796984,251.0
Capacity,request1,links$endNode_distance,15.326530612244898,224,0.9553571428571429,0.20698098338345747,4424874.799562739,3895743.4594461946,224.0
Capacity,request1,links$endNode_distance,16.122448979591837,199,0.9698492462311558,0.17143328468507457,4979431.063480654,4583659.959224873,199.0
Capacity,request1,links$endNode_distance,16.918367346938776,162,0.9753086419753086,0.15566396695472653,6161739.934492031,5504806.4014112335,162.0
Capacity,request1,links$endNode_distance,17.714285714285715,145,0.9241379310344827,0.26569506907694157,6819135.862069239,6628107.023597068,145.0
Capacity,request1,links$endNode_distance,18.510204081632654,140,0.9428571428571428,0.23294883408407635,7121401.545189258,6071434.85449037,140.0
Capacity,request1,links$endNode_distance,19.306122448979593,113,0.9380530973451328,0.24213285316964075,8801836.391546575,8519841.05606813,113.0
Capacity,request1,links$endNode_distance,20.10204081632653,112,0.9642857142857143,0.18641092980036003,8909791.308309603,8817827.596744027,112.0
Capacity,request1,links$endNode_distance,20.897959183673468,97,0.8969072164948454,0.3056596719417633,9983362.192298971,10104392.470665732,97.0
Capacity,request1,links$endNode_distance,21.693877551020407,79,0.9367088607594937,0.2450417103112758,12384864.040301854,13302473.106003106,79.0
Capacity,request1,links$endNode_distance,22.489795918367346,75,0.96,0.19727878476642874,13221583.510204509,13943240.28491133,75.0
Capacity,request1,links$endNode_distance,23.285714285714285,53,0.9433962264150944,0.23329531793437608,18525938.544472463,16524257.855574558,53.0
Capacity,request1,links$endNode_distance,24.081632653061224,58,0.9827586206896551,0.13130643285972254,17127929.275155634,18406990.51368386,58.0
Capacity,request1,links$endNode_distance,24.877551020408163,44,0.9772727272727273,0.15075567228888181,22615636.827466726,22895430.194666203,44.0
Capacity,request1,links$endNode_distance,25.6734693877551,39,0.8974358974358975,0.3073547406047282,25417450.07849862,23776327.162480734,39.0
Capacity,request1,links$endNode_distance,26.46938775510204,33,1.0,0.0,29457568.52195695,22030151.271929786,33.0
Capacity,request1,links$endNode_distance,27.26530612244898,29,0.9655172413793104,0.1856953381770519,32908376.84728938,38865194.09882729,29.0
Capacity,request1,links$endNode_distance,28.06122448979592,22,1.0,0.0,40387961.96659756,45995768.55960976,22.0
Capacity,request1,links$endNode_distance,28.857142857142858,37,1.0,0.0,26818176.447881646,24080602.300879456,37.0
Capacity,request1,links$endNode_distance,29.653061224489797,19,1.0,0.0,52614642.42748906,51311069.75525584,19.0
Capacity,request1,links$endNode_distance,30.448979591836736,19,0.9473684210526315,0.22941573387056174,47703673.684216954,52705792.67436441,19.0
Capacity,request1,links$endNode_distance,31.244897959183675,20,0.9,0.30779350562554625,45641489.08160134,31586373.66525793,20.0
Capacity,request1,links$endNode_distance,32.04081632653062,21,1.0,0.0,46189890.379003525,44993010.08564112,21.0
Capacity,request1,links$endNode_distance,32.83673469387755,11,1.0,0.0,89068118.92397308,60342269.94763346,11.0
Capacity,request1,links$endNode_distance,33.63265306122449,8,1.0,0.0,107528155.86736405,97778954.41606216,8.0
Capacity,request1,links$endNode_distance,34.42857142857143,10,0.9,0.31622776601683794,74735269.99991512,73204005.82933085,10.0
Capacity,request1,links$endNode_distance,35.224489795918366,15,1.0,0.0,57205253.06119143,53457163.97468347,15.0
Capacity,request1,links$endNode_distance,36.02040816326531,9,1.0,0.0,101222134.69387309,123545880.1696434,9.0
Capacity,request1,links$endNode_distance,36.816326530612244,10,0.8,0.42163702135578396,86420783.6735096,67255443.94198516,10.0
