Aplicación,request,parámetro,valor,Teleported states,Mean fidel,Std fidel,Mean time,Std time,Queue size,Discarded qubits
TeleportationWithDemand,request1,nodes$teleport_queue_size,23.224489795918366,49,0.8775510204081632,0.33120066055341796,534979.5918367347,1127.1238455756786,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,25.24489795918367,49,1.0,0.0,534979.5918367347,923.9813291396313,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,27.265306122448976,49,0.9183673469387755,0.2766416675862441,535244.8979591837,1051.4001031342677,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,29.285714285714285,49,0.9795918367346939,0.14285714285714285,535061.224489796,966.2678041763345,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,31.30612244897959,49,0.8775510204081632,0.33120066055341796,534795.918367347,978.510599430215,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,33.326530612244895,49,0.8775510204081632,0.33120066055341796,535061.224489796,987.5931024741018,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,35.3469387755102,49,0.9591836734693877,0.19991494790174605,534795.918367347,912.4050598266534,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,37.367346938775505,49,0.8775510204081632,0.33120066055341796,535224.4897959183,963.1827907699421,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,39.38775510204081,49,0.9387755102040817,0.24222607082590245,535204.081632653,815.9756899139903,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,41.408163265306115,49,0.8775510204081632,0.33120066055341796,534836.7346938775,897.8432207126097,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,43.42857142857142,49,1.0,0.0,534714.2857142857,1040.8329997330663,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,45.44897959183673,49,0.8571428571428571,0.3535533905932738,535183.6734693878,905.3882543729306,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,47.469387755102034,49,0.9591836734693877,0.19991494790174605,535183.6734693878,833.5033840102045,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,49.48979591836734,49,0.9387755102040817,0.24222607082590245,534775.5102040817,895.9470343917515,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,51.51020408163265,49,0.9387755102040817,0.24222607082590245,535142.8571428572,1000.0000000000001,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,53.53061224489795,49,0.9795918367346939,0.14285714285714288,534938.775510204,1008.4675516451128,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,55.55102040816326,49,0.9183673469387755,0.2766416675862441,535122.4489795918,971.0958814063387,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,57.57142857142857,49,0.9183673469387755,0.2766416675862441,535081.6326530612,837.5742428256125,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,59.59183673469387,49,0.9387755102040817,0.24222607082590245,534877.5510204082,904.4485672963133,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,61.61224489795918,49,0.8979591836734694,0.3058388709205983,535224.4897959183,963.1827907699422,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,63.63265306122448,49,0.9591836734693877,0.19991494790174605,534877.5510204082,1148.053662022971,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,65.65306122448979,49,0.9387755102040817,0.24222607082590245,535326.5306122449,921.6777071831385,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,67.67346938775509,49,0.9183673469387755,0.2766416675862441,535102.0408163265,1103.8738220312982,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,69.6938775510204,49,0.8775510204081632,0.33120066055341796,535285.7142857143,889.7565210026092,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,71.71428571428571,49,0.9183673469387755,0.2766416675862441,535061.224489796,987.5931024741018,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,73.73469387755101,49,0.9591836734693877,0.19991494790174605,534673.4693877551,1008.0458633341213,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,75.75510204081633,49,0.9183673469387755,0.2766416675862441,535122.4489795918,1013.0945386377755,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,77.77551020408163,49,0.8571428571428571,0.35355339059327373,534979.5918367347,901.1519460845507,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,79.79591836734693,49,0.9387755102040817,0.24222607082590245,535122.4489795918,1166.059122665322,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,81.81632653061223,49,0.9387755102040817,0.24222607082590245,535102.0408163265,940.8528480228208,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,83.83673469387755,49,0.9387755102040817,0.24222607082590245,534857.1428571428,1172.6039399558574,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,85.85714285714285,49,0.8571428571428571,0.3535533905932738,534979.5918367347,853.6635734284552,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,87.87755102040815,49,0.9387755102040817,0.24222607082590245,534979.5918367347,1070.2374331265498,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,89.89795918367346,49,0.8571428571428571,0.35355339059327373,534897.9591836735,1045.72339314275,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,91.91836734693877,49,0.9591836734693877,0.19991494790174605,534734.693877551,1016.0280139691366,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,93.93877551020407,49,0.9591836734693877,0.19991494790174605,534979.5918367347,1108.4861282842649,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,95.95918367346938,49,0.9795918367346939,0.14285714285714288,535183.6734693878,971.9711369976285,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,97.97959183673468,49,0.8775510204081632,0.33120066055341796,534836.7346938775,897.8432207126097,0,0
TeleportationWithDemand,request1,nodes$teleport_queue_size,99.99999999999999,49,0.9795918367346939,0.14285714285714288,534816.3265306122,1054.2269953966884,0,0
