Teleportation,Request,Element$Parameter,Value,Teleported states,Mean fidelity,STD fidelity,Mean time,STD time
Teleportation,request1,links$endNode_distance,1.0,66622,1.0,0.0,15010.0,0.0
Teleportation,request1,links$endNode_distance,3.020408163265306,22067,1.0,0.0,45316.12244894026,3.3118305978732066e-08
Teleportation,request1,links$endNode_distance,5.040816326530612,13223,1.0,0.0,75622.24489791872,7.659374396476751e-08
Teleportation,request1,links$endNode_distance,7.061224489795918,9440,1.0,0.0,105928.36734685891,8.915195169715473e-08
Teleportation,request1,links$endNode_distance,9.081632653061224,7340,1.0,0.0,136234.48979596538,7.723694905569339e-08
Teleportation,request1,links$endNode_distance,11.102040816326529,6004,1.0,0.0,166540.6122449445,3.343369962344321e-08
Teleportation,request1,links$endNode_distance,13.122448979591836,5080,1.0,0.0,196846.7346938846,1.6111229646614712e-09
Teleportation,request1,links$endNode_distance,15.142857142857142,4402,1.0,0.0,227152.85714282398,3.2088435457068116e-08
Teleportation,request1,links$endNode_distance,17.163265306122447,3884,0.9994850669412977,0.022689214321604458,257458.9795917998,7.524214352336849e-08
Teleportation,request1,links$endNode_distance,19.183673469387752,3475,1.0,0.0,287765.10204074247,8.904737280321242e-08
Teleportation,request1,links$endNode_distance,21.204081632653057,3143,0.9990454979319122,0.0308851824015704,318071.2244898507,7.754454007027178e-08
Teleportation,request1,links$endNode_distance,23.224489795918366,2870,0.9993031358885017,0.026393582876735513,348377.34693882655,3.753057746557717e-08
Teleportation,request1,links$endNode_distance,25.24489795918367,2640,0.9984848484848485,0.03890281608876145,378683.4693877687,4.503932305627308e-09
Teleportation,request1,links$endNode_distance,27.265306122448976,2445,0.9983640081799591,0.04042256358490528,408989.59183669626,1.4560157613885664e-08
Teleportation,request1,links$endNode_distance,29.285714285714285,2276,0.9925307557117751,0.08612034219268229,439295.71428568376,7.530635937574082e-08
Teleportation,request1,links$endNode_distance,31.30612244897959,2129,0.9920150305307656,0.0890220877355954,469601.83673462534,8.835788106495378e-08
Teleportation,request1,links$endNode_distance,33.326530612244895,2000,0.992,0.08910650921785958,499907.9591837244,8.534119524324296e-08
Teleportation,request1,links$endNode_distance,35.3469387755102,1886,0.9846235418875928,0.12307743290538013,530214.0816327111,3.846664177687026e-08
Teleportation,request1,links$endNode_distance,37.367346938775505,1784,0.9854260089686099,0.1198734522331755,560520.2040816535,4.990719369408371e-09
Teleportation,request1,links$endNode_distance,39.38775510204081,1692,0.9769503546099291,0.1501055489671967,590826.3265305808,1.385354854676414e-08
Teleportation,request1,links$endNode_distance,41.408163265306115,1609,0.9757613424487259,0.15383710038515785,621132.4489795672,7.511472084347253e-08
Teleportation,request1,links$endNode_distance,43.42857142857142,1535,0.9661237785016287,0.1809694963060779,651438.5714285062,8.619562596289526e-08
Teleportation,request1,links$endNode_distance,45.44897959183673,1466,0.9693042291950886,0.17255100707771928,681744.6938776092,8.615501235141148e-08
Teleportation,request1,links$endNode_distance,47.469387755102034,1404,0.9629629629629629,0.1889198657161425,712050.8163265963,3.8442399775885726e-08
Teleportation,request1,links$endNode_distance,49.48979591836734,1347,0.9458054936896808,0.22648519404118064,742356.9387755353,1.1989324107058618e-08
Teleportation,request1,links$endNode_distance,51.51020408163265,1294,0.9497681607418856,0.21850743508302042,772663.0612244647,1.1978016537208324e-08
Teleportation,request1,links$endNode_distance,53.53061224489795,1245,0.9493975903614458,0.2192724893648533,802969.1836734035,3.830038488232282e-08
Teleportation,request1,links$endNode_distance,55.55102040816326,1200,0.9408333333333333,0.2360347415563513,833275.3061223901,8.625888378035535e-08
Teleportation,request1,links$endNode_distance,57.57142857142857,1157,0.9325842696629213,0.25084903067049835,863581.4285714948,8.631178590477884e-08
Teleportation,request1,links$endNode_distance,59.59183673469387,1118,0.9391771019677997,0.23911213518037844,893887.5510204337,7.53998080452176e-08
Teleportation,request1,links$endNode_distance,61.61224489795918,1082,0.933456561922366,0.24934488161836965,924193.6734694196,1.3566354581438907e-08
Teleportation,request1,links$endNode_distance,63.63265306122448,1047,0.9245463228271251,0.2642482021431591,954499.7959183463,4.604736960464666e-09
Teleportation,request1,links$endNode_distance,65.65306122448979,1015,0.9024630541871921,0.2968337888278115,984805.9183672877,3.7898928542886555e-08
Teleportation,request1,links$endNode_distance,67.67346938775509,985,0.9137055837563451,0.2809409541790768,1015112.0408162733,8.586287528863376e-08
Teleportation,request1,links$endNode_distance,69.6938775510204,956,0.895397489539749,0.3062007502084963,1045418.1632653776,8.875456290188563e-08
Teleportation,request1,links$endNode_distance,71.71428571428571,929,0.8805166846071044,0.3245310807989175,1075724.2857143183,7.59283341182907e-08
Teleportation,request1,links$endNode_distance,73.73469387755101,904,0.8849557522123894,0.31925196038285014,1106030.4081633047,1.336578991881233e-08
Teleportation,request1,links$endNode_distance,75.75510204081633,880,0.8875,0.3161603040926534,1136336.530612231,3.817260777871207e-09
Teleportation,request1,links$endNode_distance,77.77551020408163,857,0.8786464410735122,0.3267283837776277,1166642.6530611713,3.664631846830671e-08
Teleportation,request1,links$endNode_distance,79.79591836734693,835,0.881437125748503,0.32346719419184916,1196948.7755101454,7.798084909075966e-08
Teleportation,request1,links$endNode_distance,81.81632653061223,814,0.8845208845208845,0.3197957588236252,1227254.8979592628,8.940289727743376e-08
Teleportation,request1,links$endNode_distance,83.83673469387755,795,0.8918238993710692,0.3107982234507478,1257561.0204082038,7.596736458168707e-08
Teleportation,request1,links$endNode_distance,85.85714285714285,776,0.8569587628865979,0.35034070547141605,1287867.1428571779,3.1577059080417825e-08
Teleportation,request1,links$endNode_distance,87.87755102040815,758,0.8601583113456465,0.3470517094600639,1318173.2653061152,6.055181697019665e-10
Teleportation,request1,links$endNode_distance,89.89795918367346,741,0.8502024291497976,0.3571139375220038,1348479.387755053,3.227433437100822e-08
Teleportation,request1,links$endNode_distance,91.91836734693877,725,0.8317241379310345,0.3743693496840438,1378785.5102040295,7.799972140196368e-08
Teleportation,request1,links$endNode_distance,93.93877551020407,709,0.847672778561354,0.3595914585591281,1409091.6326531486,8.938711922039376e-08
Teleportation,request1,links$endNode_distance,95.95918367346938,694,0.8587896253602305,0.34848959457305057,1439397.7551020866,7.771373901514435e-08
Teleportation,request1,links$endNode_distance,97.97959183673468,680,0.8205882352941176,0.3839791751262135,1469703.8775510627,3.2003847758917963e-08
Teleportation,request1,links$endNode_distance,99.99999999999999,666,0.7942942942942943,0.404520171190173,1500009.9999999998,2.6592186321202713e-09
