Aplicación,request,parámetro,valor,Teleported states,Mean fidel,Std fidel,Mean time,Std time,Queue size,Discarded qubits
TeleportationWithDemand,request1,nodes$teleport_queue_size,1.0,186,0.9516129032258065,0.21516198962305763,535016.1290322581,978.0057284506577,1,112
TeleportationWithDemand,request1,nodes$teleport_queue_size,3.020408163265306,186,0.8709677419354839,0.33614046136191833,535000.0,1008.0755012479057,3,110
TeleportationWithDemand,request1,nodes$teleport_queue_size,5.040816326530612,186,0.8333333333333334,0.3736838766118223,535069.8924731183,1029.5404323721268,5,108
TeleportationWithDemand,request1,nodes$teleport_queue_size,7.061224489795918,186,0.8279569892473119,0.3784364965537274,534913.9784946237,977.0990044002111,7,106
TeleportationWithDemand,request1,nodes$teleport_queue_size,9.081632653061224,186,0.8010752688172043,0.40026872693659304,535048.3870967742,1159.1341505951111,9,104
TeleportationWithDemand,request1,nodes$teleport_queue_size,11.102040816326529,186,0.7795698924731183,0.4156555590116481,534973.1182795699,1047.1727480758366,11,102
TeleportationWithDemand,request1,nodes$teleport_queue_size,13.122448979591836,186,0.7419354838709677,0.43875070324610743,535053.7634408602,1017.3159321958188,13,100
TeleportationWithDemand,request1,nodes$teleport_queue_size,15.142857142857142,186,0.7526881720430108,0.4326140275491725,534935.4838709678,939.3091378748559,15,98
TeleportationWithDemand,request1,nodes$teleport_queue_size,17.163265306122447,186,0.7043010752688172,0.45758803105085666,534956.9892473118,1012.5053592877705,17,96
TeleportationWithDemand,request1,nodes$teleport_queue_size,19.183673469387752,186,0.7311827956989247,0.4445413049543543,535166.6666666666,923.6629001714604,19,94
TeleportationWithDemand,request1,nodes$teleport_queue_size,21.204081632653057,186,0.7096774193548387,0.4551363362427125,534930.1075268817,981.1504495191798,21,92
TeleportationWithDemand,request1,nodes$teleport_queue_size,23.224489795918366,186,0.6559139784946236,0.4763515316963843,535010.752688172,997.2353530220732,23,90
TeleportationWithDemand,request1,nodes$teleport_queue_size,25.24489795918367,186,0.6720430107526881,0.4707361897095206,534978.4946236559,1065.2089719979797,25,88
TeleportationWithDemand,request1,nodes$teleport_queue_size,27.265306122448976,186,0.6559139784946236,0.4763515316963843,535032.2580645161,1002.1772287911878,27,86
TeleportationWithDemand,request1,nodes$teleport_queue_size,29.285714285714285,186,0.6827956989247311,0.46664383221420913,534951.6129032258,960.1928751319854,29,84
TeleportationWithDemand,request1,nodes$teleport_queue_size,31.30612244897959,186,0.6344086021505376,0.4828954614990846,534962.3655913979,966.2872918989073,31,82
TeleportationWithDemand,request1,nodes$teleport_queue_size,33.326530612244895,186,0.7150537634408602,0.4526071589547732,535021.5053763441,1029.0745737551372,33,80
