plicación,request,parámetro,valor,Generated entanglements,Mean fidel,Std fidel,Mean time,Std time,EPS
Capacity,request1,links$switch_distance,1.0,910,1.0,0.0,1098768.8626373627,820091.326103479,910.0
Capacity,request1,links$switch_distance,1.7755102040816326,858,0.9976689976689976,0.04825227844316598,1165235.48356399,812611.1503574044,858.0
Capacity,request1,links$switch_distance,2.5510204081632653,797,0.998745294855709,0.03542181734879073,1253855.1313599097,930994.8722581478,797.0
Capacity,request1,links$switch_distance,3.326530612244898,724,1.0,0.0,1380824.350828742,975182.5785245205,724.0
Capacity,request1,links$switch_distance,4.1020408163265305,658,0.9984802431610942,0.038984058779272523,1513923.1507041047,1267644.4753569427,658.0
Capacity,request1,links$switch_distance,4.877551020408163,590,1.0,0.0,1694871.0797302062,1383847.6871695626,590.0
Capacity,request1,links$switch_distance,5.653061224489796,557,1.0,0.0,1794811.6588501672,1390321.00724186,557.0
Capacity,request1,links$switch_distance,6.428571428571429,530,1.0,0.0,1885045.5498652034,1472932.209886352,530.0
Capacity,request1,links$switch_distance,7.204081632653061,453,1.0,0.0,2206622.220795662,1905832.818370314,453.0
Capacity,request1,links$switch_distance,7.979591836734693,460,0.9978260869565218,0.046625240412015684,2171206.6861136626,1749507.4158884087,460.0
Capacity,request1,links$switch_distance,8.755102040816325,382,1.0,0.0,2617634.6439255937,2181889.1121528014,382.0
Capacity,request1,links$switch_distance,9.53061224489796,352,1.0,0.0,2840757.0242924714,2417438.663459424,352.0
Capacity,request1,links$switch_distance,10.306122448979592,348,1.0,0.0,2862801.0520758857,2671346.955743043,348.0
Capacity,request1,links$switch_distance,11.081632653061224,300,0.9966666666666667,0.05773502691896257,3323513.3469387954,2889826.5611027684,300.0
Capacity,request1,links$switch_distance,11.857142857142858,289,1.0,0.0,3439614.65892245,2756856.283799891,289.0
Capacity,request1,links$switch_distance,12.63265306122449,245,1.0,0.0,4058207.8446480655,3462754.682133507,245.0
Capacity,request1,links$switch_distance,13.408163265306122,244,1.0,0.0,4082164.4011375904,3550032.35898455,244.0
Capacity,request1,links$switch_distance,14.183673469387754,221,1.0,0.0,4524033.09123625,4060585.7452077456,221.0
Capacity,request1,links$switch_distance,14.959183673469386,229,1.0,0.0,4362607.660190845,3995447.1899943347,229.0
Capacity,request1,links$switch_distance,15.73469387755102,201,1.0,0.0,4937859.657833486,4526937.300916912,201.0
Capacity,request1,links$switch_distance,16.51020408163265,152,0.993421052631579,0.08111071056538126,6574495.637754924,6155609.012893723,152.0
Capacity,request1,links$switch_distance,17.285714285714285,154,1.0,0.0,6375774.322819872,5937815.532085501,154.0
Capacity,request1,links$switch_distance,18.06122448979592,148,1.0,0.0,6745102.986761531,6687501.327132391,148.0
Capacity,request1,links$switch_distance,18.83673469387755,156,1.0,0.0,6405064.010989179,6276994.257186567,156.0
Capacity,request1,links$switch_distance,19.612244897959183,129,1.0,0.0,7740976.370827488,8006446.421626876,129.0
Capacity,request1,links$switch_distance,20.387755102040817,114,1.0,0.0,8738390.743823722,8272071.160639899,114.0
Capacity,request1,links$switch_distance,21.163265306122447,97,1.0,0.0,10077126.170838743,9275927.225592097,97.0
Capacity,request1,links$switch_distance,21.93877551020408,115,1.0,0.0,8659190.387756415,8260968.822096795,115.0
Capacity,request1,links$switch_distance,22.714285714285715,98,1.0,0.0,9954427.091837417,7860128.060602774,98.0
Capacity,request1,links$switch_distance,23.489795918367346,58,1.0,0.0,17099120.19880408,17213044.902610164,58.0
Capacity,request1,links$switch_distance,24.26530612244898,78,1.0,0.0,12726754.699109998,12964954.44895346,78.0
Capacity,request1,links$switch_distance,25.04081632653061,74,0.9864864864864865,0.1162476387438193,13491756.93601634,12080770.35201879,74.0
Capacity,request1,links$switch_distance,25.816326530612244,67,1.0,0.0,14888823.400853606,14595932.98558529,67.0
Capacity,request1,links$switch_distance,26.591836734693878,71,0.9859154929577465,0.11867816581938531,14023053.682092015,15646387.720625581,71.0
Capacity,request1,links$switch_distance,27.36734693877551,62,1.0,0.0,16091920.878864491,13619843.034621945,62.0
Capacity,request1,links$switch_distance,28.142857142857142,47,1.0,0.0,21091912.76596068,19470188.00156524,47.0
Capacity,request1,links$switch_distance,28.918367346938773,47,1.0,0.0,20984074.871909987,15352753.026275685,47.0
Capacity,request1,links$switch_distance,29.693877551020407,35,1.0,0.0,28416021.1399448,23866856.369456317,35.0
Capacity,request1,links$switch_distance,30.46938775510204,48,1.0,0.0,20461887.96981432,19554760.95290297,48.0
Capacity,request1,links$switch_distance,31.24489795918367,33,1.0,0.0,30034615.29066158,24906731.015351236,33.0
Capacity,request1,links$switch_distance,32.0204081632653,47,0.9787234042553191,0.14586499149789456,20793477.24489703,20006906.85240035,47.0
Capacity,request1,links$switch_distance,32.79591836734694,23,0.9565217391304348,0.20851441405707477,43180331.6681417,29901632.468632452,23.0
Capacity,request1,links$switch_distance,33.57142857142857,36,0.9722222222222222,0.16666666666666666,26596120.396821313,23641798.629851546,36.0
Capacity,request1,links$switch_distance,34.3469387755102,27,1.0,0.0,36668396.21692412,29171059.391680192,27.0
Capacity,request1,links$switch_distance,35.12244897959184,27,1.0,0.0,36183366.961441904,42782851.07133076,27.0
Capacity,request1,links$switch_distance,35.89795918367347,23,0.9565217391304348,0.2085144140570748,41535048.12334517,43585753.09200881,23.0
Capacity,request1,links$switch_distance,36.6734693877551,19,1.0,0.0,51288644.48441249,54758253.08277612,19.0
Capacity,request1,links$switch_distance,37.44897959183673,18,1.0,0.0,55007106.21315675,54614695.71177318,18.0
Capacity,request1,links$switch_distance,38.224489795918366,19,0.9473684210526315,0.22941573387056177,51958122.74433708,49794349.37296603,19.0
Capacity,request1,links$switch_distance,39.0,19,1.0,0.0,49415397.631578945,46688624.44612342,19.0
