Aplicación,request,parámetro,valor,Generated entanglements,Mean fidel,Std fidel,Mean time,Std time,EPS
Capacity,request1,links$lastNode_distance,9.0,2041,1.0,0.0,48983.341499265065,711.7479212608376,20410.0
Capacity,request1,links$lastNode_distance,12.877551020408163,1462,1.0,0.0,68390.49108015056,687.2203213529556,14620.0
Capacity,request1,links$lastNode_distance,16.755102040816325,1139,1.0,0.0,87745.65945780813,715.743787446264,11390.0
Capacity,request1,links$lastNode_distance,20.632653061224488,932,0.9989270386266095,0.03275608910402091,107200.81895418384,696.5355594069339,9320.0
Capacity,request1,links$lastNode_distance,24.51020408163265,790,0.9962025316455696,0.061545449268394746,126529.5014208129,714.3594871110577,7900.0
Capacity,request1,links$lastNode_distance,28.387755102040817,685,0.9912408759124087,0.09324749542341836,145928.55653208971,728.4210143870841,6850.0
Capacity,request1,links$lastNode_distance,32.265306122448976,604,0.9933774834437086,0.08117615852408731,165328.18624136937,729.6132967566319,6040.0
Capacity,request1,links$lastNode_distance,36.14285714285714,541,0.9926062846580407,0.08574753142577991,184705.04357011625,697.8190751380065,5410.0
Capacity,request1,links$lastNode_distance,40.0204081632653,489,0.9775051124744376,0.14843829261889374,204108.1757856515,708.5276743732464,4890.0
Capacity,request1,links$lastNode_distance,43.89795918367347,447,0.9731543624161074,0.1618132424932313,223523.3529653388,663.7585672821018,4470.0
Capacity,request1,links$lastNode_distance,47.775510204081634,411,0.975669099756691,0.15426213829432942,242899.4488306105,703.3073777371419,4110.0
Capacity,request1,links$lastNode_distance,51.6530612244898,381,0.9291338582677166,0.2569385251748401,262262.681450508,730.8923445240166,3810.0
Capacity,request1,links$lastNode_distance,55.53061224489796,355,0.9380281690140845,0.2414446850262581,281689.68094277044,681.7308141780893,3550.0
Capacity,request1,links$lastNode_distance,59.40816326530612,332,0.9487951807228916,0.22074796001280775,301016.7199410164,728.7932933265594,3320.0
Capacity,request1,links$lastNode_distance,63.285714285714285,311,0.9260450160771704,0.2621193730134256,320521.8190170214,741.175657068729,3110.0
Capacity,request1,links$lastNode_distance,67.16326530612244,294,0.9489795918367347,0.22041454797931326,339802.7210884585,681.1593665954077,2940.0
Capacity,request1,links$lastNode_distance,71.0408163265306,278,0.9136690647482014,0.2813586015206638,359232.858611091,694.9269087936992,2780.0
Capacity,request1,links$lastNode_distance,74.91836734693878,264,0.9128787878787878,0.28254823688054514,378656.23067410605,697.3750430618828,2640.0
Capacity,request1,links$lastNode_distance,78.79591836734694,251,0.8884462151394422,0.31544567851789873,397983.5759004955,689.9159831059286,2510.0
Capacity,request1,links$lastNode_distance,82.6734693877551,239,0.8577405857740585,0.3500490956941527,417409.187942973,702.879999674087,2390.0
Capacity,request1,links$lastNode_distance,86.55102040816327,228,0.868421052631579,0.3387761829141776,436772.6459004764,732.895484376455,2280.0
Capacity,request1,links$lastNode_distance,90.42857142857143,219,0.8310502283105022,0.3755659854035633,456120.0260926262,725.9471660121159,2190.0
Capacity,request1,links$lastNode_distance,94.3061224489796,210,0.861904761904762,0.34582429158038075,475506.8027210715,715.116855242878,2100.0
Capacity,request1,links$lastNode_distance,98.18367346938776,202,0.8267326732673267,0.3794185363069596,494962.92180235346,671.3727301524154,2020.0
Capacity,request1,links$lastNode_distance,102.06122448979592,194,0.8505154639175257,0.3574879863455413,514280.34925305814,647.3186385354591,1940.0
Capacity,request1,links$lastNode_distance,105.93877551020408,187,0.7967914438502673,0.4034666637327091,533667.1395831627,721.6554674942699,1870.0
Capacity,request1,links$lastNode_distance,109.81632653061224,180,0.8,0.40111576227892537,553148.2993197838,705.920691258139,1800.0
Capacity,request1,links$lastNode_distance,113.6938775510204,174,0.8505747126436781,0.3575360649477983,572521.1118930866,682.288239221013,1740.0
Capacity,request1,links$lastNode_distance,117.57142857142857,168,0.8452380952380952,0.3627588109849964,591851.1904762415,721.7495693331729,1680.0
Capacity,request1,links$lastNode_distance,121.44897959183673,163,0.8098159509202454,0.39365566264395574,611263.3028672078,689.1790843794764,1630.0
Capacity,request1,links$lastNode_distance,125.3265306122449,158,0.8417721518987342,0.36611494312064286,630676.956858739,716.9018331190375,1580.0
Capacity,request1,links$lastNode_distance,129.20408163265307,153,0.8169934640522876,0.3879417430615478,650020.4081633091,707.1067811865476,1530.0
Capacity,request1,links$lastNode_distance,133.0816326530612,149,0.7449664429530202,0.4373501660971845,669508.8344062871,675.2873907011041,1490.0
Capacity,request1,links$lastNode_distance,136.9591836734694,145,0.8,0.4013864859597432,688844.1942294548,700.5061115083412,1450.0
Capacity,request1,links$lastNode_distance,140.83673469387756,141,0.8581560283687943,0.35013385774357664,708070.1982921193,677.0967284934816,1410.0
Capacity,request1,links$lastNode_distance,144.71428571428572,137,0.7591240875912408,0.4291843742916439,727564.1293013897,742.5745195815812,1370.0
Capacity,request1,links$lastNode_distance,148.59183673469389,133,0.7969924812030075,0.40375882570784605,747026.8528464333,730.2499439461819,1330.0
Capacity,request1,links$lastNode_distance,152.46938775510205,130,0.8153846153846154,0.3894861529340553,766323.8618524625,730.9904570516203,1300.0
Capacity,request1,links$lastNode_distance,156.3469387755102,127,0.7559055118110236,0.43125022076039193,785766.1899405699,733.9500423509196,1270.0
Capacity,request1,links$lastNode_distance,160.22448979591837,124,0.717741935483871,0.45192423048231933,805001.4812376807,705.296362035528,1240.0
Capacity,request1,links$lastNode_distance,164.10204081632654,121,0.8264462809917356,0.38030001206094344,824609.3776353735,723.4749325038376,1210.0
Capacity,request1,links$lastNode_distance,167.9795918367347,118,0.7372881355932204,0.4419839905383686,843881.0100311505,679.1529521655435,1180.0
Capacity,request1,links$lastNode_distance,171.85714285714286,115,0.6782608695652174,0.4691879152015395,863355.2795031227,697.3853314588308,1150.0
Capacity,request1,links$lastNode_distance,175.73469387755102,113,0.7522123893805309,0.4336508933982873,882744.2658479466,728.462350229333,1130.0
Capacity,request1,links$lastNode_distance,179.6122448979592,110,0.7727272727272727,0.4209881540552881,902070.315398899,772.1702353714895,1100.0
Capacity,request1,links$lastNode_distance,183.48979591836735,108,0.75,0.4350314200705486,921356.3869992539,677.2268499548417,1080.0
Capacity,request1,links$lastNode_distance,187.3673469387755,106,0.7169811320754716,0.45260551479358196,940808.4328070924,749.0635063650041,1060.0
Capacity,request1,links$lastNode_distance,191.24489795918367,104,0.7307692307692307,0.4457081031558883,960272.5667190001,673.778040896499,1040.0
Capacity,request1,links$lastNode_distance,195.12244897959184,102,0.7549019607843137,0.4322695004117411,979494.5978391323,649.3579105429421,1020.0
Capacity,request1,links$lastNode_distance,199.0,100,0.77,0.4229525846816507,998970.0,758.1876316905235,1000.0
