Aplicación,request,parámetro,valor,Generated entanglements,Mean fidel,Std fidel,Mean time,Std time,EPS
Capacity,request1,nodes$gate_duration,10.0,3993,1.0,0.0,25040.08765339344,7.146290594889586,39930.0
Capacity,request1,nodes$gate_duration,622.0408163265306,3635,1.0,0.0,27506.10674002751,458.37063690570795,36350.0
Capacity,request1,nodes$gate_duration,1234.0816326530612,3325,1.0,0.0,30067.41894736842,959.2712432428119,33250.0
Capacity,request1,nodes$gate_duration,1846.1224489795918,3054,1.0,0.0,32734.62802881467,1562.393884919772,30540.0
Capacity,request1,nodes$gate_duration,2458.1632653061224,2807,1.0,0.0,35614.147488421804,2241.084205122052,28070.0
Capacity,request1,nodes$gate_duration,3070.204081632653,2561,1.0,0.0,39034.837953924245,2941.7057098724945,25610.0
Capacity,request1,nodes$gate_duration,3682.2448979591836,2253,1.0,0.0,44384.89303151354,3600.873846677974,22530.0
Capacity,request1,nodes$gate_duration,4294.285714285714,1933,1.0,0.0,51722.57734092085,4349.219120535363,19330.0
Capacity,request1,nodes$gate_duration,4906.326530612245,1692,1.0,0.0,59072.82978723404,4930.516908340257,16920.0
Capacity,request1,nodes$gate_duration,5518.367346938776,1505,1.0,0.0,66402.5342192691,5645.073398742125,15050.0
Capacity,request1,nodes$gate_duration,6130.408163265306,1355,1.0,0.0,73769.75645756458,6285.306904207779,13550.0
Capacity,request1,nodes$gate_duration,6742.448979591836,1233,1.0,0.0,81082.59205190591,6946.890821152165,12330.0
Capacity,request1,nodes$gate_duration,7354.489795918367,1130,1.0,0.0,88420.403539823,7664.389231984988,11300.0
Capacity,request1,nodes$gate_duration,7966.530612244898,1044,1.0,0.0,95761.26053639846,7719.067957309542,10440.0
Capacity,request1,nodes$gate_duration,8578.571428571428,970,1.0,0.0,103088.79587628866,8987.79948420066,9700.0
Capacity,request1,nodes$gate_duration,9190.612244897959,905,1.0,0.0,110446.6408839779,9593.425107685887,9050.0
Capacity,request1,nodes$gate_duration,9802.65306122449,849,1.0,0.0,117734.44287396937,9777.647812589057,8490.0
Capacity,request1,nodes$gate_duration,10414.69387755102,799,1.0,0.0,125109.67959949937,10563.181643024542,7990.0
Capacity,request1,nodes$gate_duration,11026.734693877552,755,1.0,0.0,132433.9284768212,11490.399562747527,7550.0
Capacity,request1,nodes$gate_duration,11638.775510204081,715,1.0,0.0,139787.05454545454,12282.017208158537,7150.0
Capacity,request1,nodes$gate_duration,12250.816326530612,679,1.0,0.0,147172.0913107511,12524.777721656412,6790.0
Capacity,request1,nodes$gate_duration,12862.857142857143,647,1.0,0.0,154432.7171561051,12986.849993760332,6470.0
Capacity,request1,nodes$gate_duration,13474.897959183672,618,1.0,0.0,161762.20064724918,13436.296689124736,6180.0
Capacity,request1,nodes$gate_duration,14086.938775510203,591,1.0,0.0,169086.36886632827,14333.219041827106,5910.0
Capacity,request1,nodes$gate_duration,14698.979591836734,566,1.0,0.0,176421.8551236749,15091.942394508094,5660.0
Capacity,request1,nodes$gate_duration,15311.020408163266,544,1.0,0.0,183760.47977941178,15943.685170770163,5440.0
Capacity,request1,nodes$gate_duration,15923.061224489797,523,1.0,0.0,191118.13384321224,16832.224634857295,5230.0
Capacity,request1,nodes$gate_duration,16535.102040816328,503,1.0,0.0,198419.06560636184,18064.95032929982,5030.0
Capacity,request1,nodes$gate_duration,17147.142857142855,486,1.0,0.0,205759.04938271604,16944.26496870003,4860.0
Capacity,request1,nodes$gate_duration,17759.183673469386,469,1.0,0.0,213028.10021321962,18348.078843299532,4690.0
Capacity,request1,nodes$gate_duration,18371.224489795917,453,1.0,0.0,220428.940397351,19471.888455318123,4530.0
Capacity,request1,nodes$gate_duration,18983.26530612245,439,1.0,0.0,227680.41230068338,19864.419092491265,4390.0
