Teleportation,Request,Element$Parameter,Value,Teleported states,Mean fidelity,STD fidelity,Mean time,STD time
Teleportation,request1,links$source_fidelity_sq,0.5,1631,0.5300429184549357,0.36108892655522207,612990.803188228,999.0369742733695
Teleportation,request1,links$source_fidelity_sq,0.5102040816326531,1631,0.5315757204169221,0.36623088563662853,612973.6358062539,999.345288642444
Teleportation,request1,links$source_fidelity_sq,0.5204081632653061,1631,0.5282035561005518,0.365038561219949,613045.9840588596,973.7509525218115
Teleportation,request1,links$source_fidelity_sq,0.5306122448979592,1631,0.5272838749233599,0.3653184740247183,613011.6492949111,1006.3536387650404
Teleportation,request1,links$source_fidelity_sq,0.5408163265306123,1631,0.5515021459227468,0.3645939162525868,612986.5113427346,987.5616776700846
Teleportation,request1,links$source_fidelity_sq,0.5510204081632653,1631,0.5441446965052116,0.3688995256593205,612991.4163090129,1036.7125449292141
Teleportation,request1,links$source_fidelity_sq,0.5612244897959183,1631,0.552728387492336,0.36984937961918884,612996.934396076,994.7668814622956
Teleportation,request1,links$source_fidelity_sq,0.5714285714285714,1631,0.5582464745554875,0.36399840298074515,613000.0,1009.7682416478004
Teleportation,request1,links$source_fidelity_sq,0.5816326530612245,1631,0.5646842427958307,0.36690197984326534,612989.5769466585,1000.8655174928617
Teleportation,request1,links$source_fidelity_sq,0.5918367346938775,1631,0.5610055180870631,0.37044157943353634,613023.2985898221,980.5202868249645
Teleportation,request1,links$source_fidelity_sq,0.6020408163265306,1631,0.5548743102391172,0.37263672439008366,613009.196811772,1006.3790550014728
Teleportation,request1,links$source_fidelity_sq,0.6122448979591837,1631,0.5803188228080932,0.3686139136116015,613003.6787247087,1002.4442299410856
Teleportation,request1,links$source_fidelity_sq,0.6224489795918368,1631,0.5757204169221337,0.3726859304655096,613042.9184549357,1001.5312534457082
Teleportation,request1,links$source_fidelity_sq,0.6326530612244898,1631,0.5809319435928878,0.3738516022686785,613045.3709380748,994.661378573659
Teleportation,request1,links$source_fidelity_sq,0.6428571428571428,1631,0.5778663396689148,0.3765446509359755,612939.3010423053,1014.9166012424078
Teleportation,request1,links$source_fidelity_sq,0.6530612244897959,1631,0.5892090741876149,0.37258019246794255,612995.0950337216,971.3568905167976
